SensorSweep starting
STA;SR159;SD30;IR159;ID299;SA1;SB2;END;
STA;SR161;SD35;IR161;ID478;SA5;SB0;END;
STA;SR141;SD33;IR141;ID161;SA0;SB10;END;
STA;SR121;SD88;IR121;ID95;SA4;SB0;END;
STA;SR101;SD68;IR101;ID85;SA0;SB7;END;
STA;SR81;SD68;IR81;ID97;SA6;SB1;END;
STA;SR61;SD33;IR61;ID51;SA4;SB8;END;
STA;SR41;SD38;IR41;ID21;SA4;SB1;END;
STA;SR21;SD106;IR21;ID37;SA7;SB1;END;
STA;SR20;SD132;IR20;ID40;SA0;SB0;END;
STA;SR40;SD25;IR40;ID22;SA0;SB0;END;
STA;SR60;SD22;IR60;ID50;SA10;SB0;END;
STA;SR80;SD68;IR80;ID98;SA1;SB3;END;
STA;SR100;SD73;IR100;ID95;SA3;SB0;END;
STA;SR120;SD114;IR120;ID419;SA0;SB7;END;
STA;SR140;SD33;IR140;ID204;SA9;SB0;END;
STA;SR160;SD33;IR160;ID336;SA0;SB3;END;
STA;SR140;SD30;IR140;ID169;SA4;SB8;END;
STA;SR120;SD144;IR120;ID3802;SA0;SB0;END;
STA;SR100;SD55;IR100;ID78;SA6;SB0;END;
STA;SR80;SD68;IR80;ID107;SA4;SB5;END;
STA;SR60;SD25;IR60;ID50;SA14;SB0;END;
STA;SR40;SD22;IR40;ID20;SA9;SB0;END;
STA;SR0;SD45;IR0;ID106;SA0;SB0;END;
STA;SR20;SD124;IR20;ID40;SA1;SB4;END;
STA;SR40;SD27;IR40;ID22;SA1;SB4;END;
STA;SR60;SD25;IR60;ID50;SA1;SB0;END;
STA;SR80;SD68;IR80;ID106;SA0;SB1;END;
STA;SR100;SD68;IR100;ID104;SA10;SB1;END;
STA;SR120;SD363;IR120;ID535;SA1;SB0;END;
STA;SR140;SD33;IR140;ID193;SA10;SB1;END;
STA;SR160;SD33;IR160;ID328;SA1;SB2;END;
STA;SR180;SD439;IR180;ID419;SA0;SB3;END;
STA;SR160;SD38;IR160;ID320;SA2;SB1;END;
STA;SR140;SD30;IR140;ID190;SA2;SB2;END;
STA;SR120;SD101;IR120;ID1716;SA3;SB2;END;
STA;SR100;SD68;IR100;ID87;SA0;SB0;END;
STA;SR80;SD68;IR80;ID100;SA6;SB2;END;
STA;SR60;SD25;IR60;ID49;SA1;SB2;END;
STA;SR40;SD35;IR40;ID21;SA2;SB2;END;
STA;SR20;SD129;IR20;ID40;SA0;SB0;END;
STA;SR1;SD114;IR1;ID129;SA39;SB31;END;
STA;SR21;SD134;IR21;ID36;SA2;SB2;END;
STA;SR41;SD38;IR41;ID21;SA1;SB0;END;
